SpeciesCommonName,SpeciesLatinName,Tissue,Female,Age,SID
Mouse,Mus musculus,Liver,1,0.536986301,X204529320018_R04C02
Mouse,Mus musculus,Liver,1,1.649315068,X204529320018_R05C01
Mouse,Mus musculus,Liver,1,1.591780822,X204529320018_R05C02
Mouse,Mus musculus,Liver,1,0.536986301,X204529320018_R06C01
Mouse,Mus musculus,Liver,1,0.460273973,X204529320018_R06C02
Savanna elephant,Loxodonta africana,Blood,0,7.780821918,X204529320019_R01C01
Asian elephant,Elephas maximus,Blood,1,50.4739726,X204529320019_R01C02
Asian elephant,Elephas maximus,Blood,1,52.32054795,X204529320019_R02C01
Asian elephant,Elephas maximus,Blood,0,9.109589041,X204529320019_R02C02
Asian elephant,Elephas maximus,Blood,1,44.31506849,X204529320019_R03C01
Asian elephant,Elephas maximus,Blood,0,13.53150685,X204529320019_R03C02
Asian elephant,Elephas maximus,Blood,1,46.20821918,X204529320019_R04C01
Asian elephant,Elephas maximus,Blood,0,56.62191781,X204529320019_R04C02
Asian elephant,Elephas maximus,Blood,0,45.29041096,X204529320019_R05C01
Asian elephant,Elephas maximus,Blood,0,50.12328767,X204529320019_R05C02
Asian elephant,Elephas maximus,Blood,0,54.47671233,X204529320019_R06C01
Mouse,Mus musculus,Liver,1,0.153424658,X204529320020_R01C01
Mouse,Mus musculus,Liver,1,0.383561644,X204529320020_R01C02
Mouse,Mus musculus,Liver,1,0.153424658,X204529320020_R02C01
Mouse,Mus musculus,Liver,1,0.153424658,X204529320020_R03C01
Mouse,Mus musculus,Liver,1,0.383561644,X204529320020_R03C02
Mouse,Mus musculus,Liver,1,0.383561644,X204529320020_R04C01
Mouse,Mus musculus,Liver,0,0.076712329,X204529320020_R04C02
Mouse,Mus musculus,Liver,1,0.383561644,X204529320020_R05C01
Mouse,Mus musculus,Liver,0,0.076712329,X204529320020_R05C02
Mouse,Mus musculus,Liver,1,0.383561644,X204529320020_R06C01
Mouse,Mus musculus,Liver,0,0.076712329,X204529320020_R06C02
Mouse,Mus musculus,Cortex,0,2.1096,X204529320021_R01C01
Mouse,Mus musculus,Cortex,0,2.1096,X204529320021_R01C02
Mouse,Mus musculus,Cortex,0,2.1096,X204529320021_R02C01
Mouse,Mus musculus,Cortex,0,2.1096,X204529320021_R02C02
Mouse,Mus musculus,Cortex,0,2.1096,X204529320021_R03C01
Mouse,Mus musculus,Cortex,0,2.1096,X204529320021_R04C01
Mouse,Mus musculus,WholeBrain,0,1.0414,X204529320021_R04C02
Mouse,Mus musculus,Cortex,0,2.1096,X204529320021_R05C01
Mouse,Mus musculus,WholeBrain,0,1.0184,X204529320021_R05C02
Mouse,Mus musculus,Cortex,0,2.1096,X204529320021_R06C01
Mouse,Mus musculus,WholeBrain,0,1.0395,X204529320021_R06C02
Mouse,Mus musculus,Spleen,1,0.383561644,X204529320022_R01C01
Mouse,Mus musculus,Spleen,0,0.153424658,X204529320022_R01C02
Mouse,Mus musculus,Spleen,1,0.383561644,X204529320022_R02C01
Mouse,Mus musculus,Spleen,0,0.153424658,X204529320022_R02C02
Mouse,Mus musculus,Spleen,0,0.076712329,X204529320022_R03C01
Mouse,Mus musculus,Spleen,0,0.153424658,X204529320022_R03C02
Mouse,Mus musculus,Spleen,0,0.076712329,X204529320022_R04C01
Mouse,Mus musculus,Spleen,0,0.153424658,X204529320022_R04C02
Mouse,Mus musculus,Spleen,0,0.076712329,X204529320022_R05C01
