SpeciesCommonName,SpeciesLatinName,Tissue,Female,Age,SID
Bowhead whale,Balaena mysticetus,Skin,1,2,X204529320049_R01C01
Mouse,Mus musculus,Liver,0,0.095895666,X204529320049_R01C02
Bowhead whale,Balaena mysticetus,Skin,1,14,X204529320049_R02C01
Mouse,Mus musculus,Blood,0,0.095895666,X204529320049_R02C02
Bowhead whale,Balaena mysticetus,Skin,1,1,X204529320049_R03C01
Mouse,Mus musculus,Liver,0,0.076716532,X204529320049_R03C02
Mouse,Mus musculus,Blood,0,0.115074799,X204529320049_R04C01
Mouse,Mus musculus,Liver,0,0.076716532,X204529320049_R04C02
Mouse,Mus musculus,Blood,0,0.115074799,X204529320049_R05C01
Mouse,Mus musculus,Liver,0,0.057537399,X204529320049_R05C02
Mouse,Mus musculus,Blood,0,0.095895666,X204529320049_R06C01
Mouse,Mus musculus,Liver,0,0.057537399,X204529320049_R06C02
Cat,Felis catus,Blood,0,11.83287671,X204529320050_R01C01
Cat,Felis catus,Blood,1,8.832876712,X204529320050_R01C02
Cat,Felis catus,Blood,0,15.49972603,X204529320050_R02C01
Cat,Felis catus,Blood,1,3.583013699,X204529320050_R02C02
Cat,Felis catus,Blood,1,12.74958904,X204529320050_R03C01
Cat,Felis catus,Blood,0,6.499726027,X204529320050_R03C02
