SpeciesCommonName,SpeciesLatinName,Tissue,Sex,Age,Sample,GEO_ID
Olive baboon,Papio hamadryas,Cerebellum,Female,18.61,X203531420055_R03C01,GSM6981823
Olive baboon,Papio hamadryas,Muscle,Female,18.48,X203531420055_R03C02,GSM6981828
Olive baboon,Papio hamadryas,Cerebellum,Female,17.85,X203531420055_R04C01,GSM6981824
Olive baboon,Papio hamadryas,Muscle,Female,13.16,X203531420055_R04C02,GSM6981829
Olive baboon,Papio hamadryas,Cerebellum,Female,18.26,X203531420055_R05C01,GSM6981825
Olive baboon,Papio hamadryas,Muscle,Female,13.8,X203531420055_R05C02,GSM6981830
Olive baboon,Papio hamadryas,Cerebellum,Male,8.8,X203531420055_R06C01,GSM6981826
Olive baboon,Papio hamadryas,Muscle,Female,13.61,X203531420055_R06C02,GSM6981831
Olive baboon,Papio hamadryas,Cerebellum,Female,19.21,X203531420056_R01C01,GSM6981809
Olive baboon,Papio hamadryas,Cerebellum,Female,11.1,X203531420056_R01C02,GSM6981815
Olive baboon,Papio hamadryas,Cerebellum,Female,15.12,X203531420056_R02C01,GSM6981810
Olive baboon,Papio hamadryas,Cerebellum,Female,8.88,X203531420056_R02C02,GSM6981816
Olive baboon,Papio hamadryas,Cerebellum,Female,21.29,X203531420056_R03C01,GSM6981811
Olive baboon,Papio hamadryas,Cerebellum,Female,20.91,X203531420056_R03C02,GSM6981817
Olive baboon,Papio hamadryas,Cerebellum,Female,13.73,X203531420056_R04C01,GSM6981812
Olive baboon,Papio hamadryas,Cerebellum,Female,18.63,X203531420056_R04C02,GSM6981818
Olive baboon,Papio hamadryas,Cerebellum,Female,10.99,X203531420056_R05C01,GSM6981813
Olive baboon,Papio hamadryas,Cerebellum,Female,22.12,X203531420056_R05C02,GSM6981819
Olive baboon,Papio hamadryas,Cerebellum,Female,10.99,X203531420056_R06C01,GSM6981814
Olive baboon,Papio hamadryas,Cerebellum,Male,22.84,X203531420056_R06C02,GSM6981820
Olive baboon,Papio hamadryas,Cortex,Female,19.81,X203531420057_R01C01,GSM6981751
Olive baboon,Papio hamadryas,Cortex,Female,18.42,X203531420057_R01C02,GSM6981756
Olive baboon,Papio hamadryas,Cortex,Female,18.48,X203531420057_R02C01,GSM6981752
Olive baboon,Papio hamadryas,Cortex,Female,20.83,X203531420057_R02C02,GSM6981757
Olive baboon,Papio hamadryas,Muscle,Female,22.12,X203531420057_R03C01,GSM6981753
Olive baboon,Papio hamadryas,Heart,Female,5.98,X203531420057_R03C02,GSM6981758
Olive baboon,Papio hamadryas,Muscle,Female,18.61,X203531420057_R04C01,GSM6981754
Olive baboon,Papio hamadryas,Adipose,Female,18.48,X203531420057_R04C02,GSM6981759
Olive baboon,Papio hamadryas,Adipose,Female,13.61,X203531420057_R05C02,GSM6981760
Olive baboon,Papio hamadryas,Cortex,Female,15.68,X203531420057_R06C01,GSM6981755
Olive baboon,Papio hamadryas,Adipose,Female,21.29,X203531420057_R06C02,GSM6981761
Bowhead whale,Balaena mysticetus,Liver,Male,,X203531420058_R01C01,GSM6986262
Mouse,Mus musculus,Liver,,,X203531420058_R01C02,GSM6986268
Guinea pig,Cavia porcellus,Liver,,,X203531420058_R02C01,GSM6986263
Middle East blind mole rat,Spalax ehrenbergi,Liver,Male,,X203531420058_R02C02,GSM6986269
Porqupine,Erethizon dorsatus,Liver,,,X203531420058_R03C01,GSM6986264
Muskrat,Ondatra zibethicus,Liver,,,X203531420058_R03C02,GSM6986270
Naked mole rat,Heterocephalus glaber,Liver,Female,2.0,X203531420058_R04C01,GSM6986265
Rat,Rattus norvegicus,Liver,Female,,X203531420058_R04C02,GSM6986271
Bush tail rat,Neotoma cinerea,Liver,Female,,X203531420058_R05C01,GSM6986266
Squirrel,Sciurus carolinensis,Liver,Female,,X203531420058_R05C02,GSM6986272
Gerbil,Meriones unguiculatus,Liver,,,X203531420058_R06C01,GSM6986267
Cotton rabbit,Sylvilagus floridanus,Liver,Female,,X203531420058_R06C02,GSM6986273
Guinea pig,Cavia porcellus,Liver,,,X203531420059_R01C01,GSM6986343
Mouse,Mus musculus,Liver,,,X203531420059_R01C02,GSM6986348
Chichillah,Chinchilla lanigera,Liver,Male,,X203531420059_R02C01,GSM6986344
Muskrat,Ondatra zibethicus,Liver,Male,,X203531420059_R02C02,GSM6986349
Naked mole rat,Heterocephalus glaber,Liver,Male,,X203531420059_R03C01,GSM6986345
Deer mouse,Peromyscus maniculatus,Liver,Male,,X203531420059_R03C02,GSM6986350
Squirrel,Sciurus carolinensis,Liver,,,X203531420059_R04C02,GSM6986351
Groundhog,Marmota monax,Liver,Male,,X203531420059_R05C01,GSM6986346
Fox squirrel,Sciurus niger,Liver,Male,,X203531420059_R05C02,GSM6986352
Mole vole Ellobius,Ellobius talpinus,Liver,,,X203531420059_R06C01,GSM6986347
Eastern chipmunk,Tamias striatus,Liver,Female,,X203531420059_R06C02,GSM6986353
Beaver,Castor canadensis,Liver,Male,,X203531420060_R01C01,GSM6986331
Mouse,Mus musculus,Liver,,,X203531420060_R01C02,GSM6986337
Chichillah,Chinchilla lanigera,Liver,Male,,X203531420060_R02C01,GSM6986332
Muskrat,Ondatra zibethicus,Liver,,,X203531420060_R02C02,GSM6986338
Naked mole rat,Heterocephalus glaber,Liver,Male,,X203531420060_R03C01,GSM6986333
Deer mouse,Peromyscus maniculatus,Liver,Female,,X203531420060_R03C02,GSM6986339
Capybara,Hydrochoerus hydrochaeris,Liver,Male,1.0,X203531420060_R04C01,GSM6986334
Squirrel,Sciurus carolinensis,Liver,Male,,X203531420060_R04C02,GSM6986340
Groundhog,Marmota monax,Liver,Male,,X203531420060_R05C01,GSM6986335
Fox squirrel,Sciurus niger,Liver,Male,,X203531420060_R05C02,GSM6986341
Mole vole Ellobius,Ellobius talpinus,Liver,,,X203531420060_R06C01,GSM6986336
Eastern chipmunk,Tamias striatus,Liver,,,X203531420060_R06C02,GSM6986342
Marmoset,Callithrix jacchus,Blood,Female,12.3,X203531420061_R01C01,GSM6987986
Marmoset,Callithrix jacchus,Blood,Male,13.24,X203531420061_R01C02,GSM6987992
Marmoset,Callithrix jacchus,Blood,Male,11.59,X203531420061_R02C01,GSM6987987
Marmoset,Callithrix jacchus,Blood,Male,12.64,X203531420061_R02C02,GSM6987993
Marmoset,Callithrix jacchus,Blood,Male,11.88,X203531420061_R03C01,GSM6987988
Marmoset,Callithrix jacchus,Blood,Female,6.99,X203531420061_R03C02,GSM6987994
Marmoset,Callithrix jacchus,Blood,Female,12.27,X203531420061_R04C01,GSM6987989
Marmoset,Callithrix jacchus,Blood,Male,10.57,X203531420061_R04C02,GSM6987995
Marmoset,Callithrix jacchus,Blood,Female,7.03,X203531420061_R05C01,GSM6987990
Marmoset,Callithrix jacchus,Blood,Female,11.61,X203531420061_R05C02,GSM6987996
