SpeciesCommonName,SpeciesLatinName,Tissue,Sex,Age,Sample,GEO_ID
Olive baboon,Papio hamadryas,Cortex,Female,22.12,X202794570001_R01C01,GSM6981727
Olive baboon,Papio hamadryas,Cortex,Male,8.04,X202794570001_R01C02,GSM6981733
Olive baboon,Papio hamadryas,Cortex,Female,18.95,X202794570001_R02C01,GSM6981728
Olive baboon,Papio hamadryas,Cortex,Male,18.64,X202794570001_R02C02,GSM6981734
Olive baboon,Papio hamadryas,Cortex,Female,18.61,X202794570001_R03C01,GSM6981729
Olive baboon,Papio hamadryas,Cortex,Male,8.8,X202794570001_R03C02,GSM6981735
Olive baboon,Papio hamadryas,Cortex,Female,17.85,X202794570001_R04C01,GSM6981730
Olive baboon,Papio hamadryas,Cortex,Male,22.68,X202794570001_R04C02,GSM6981736
Olive baboon,Papio hamadryas,Cortex,Female,18.26,X202794570001_R05C01,GSM6981731
Olive baboon,Papio hamadryas,Cortex,Male,18.64,X202794570001_R05C02,GSM6981737
Olive baboon,Papio hamadryas,Cortex,Male,22.84,X202794570001_R06C01,GSM6981732
Olive baboon,Papio hamadryas,Cortex,Male,16.68,X202794570001_R06C02,GSM6981738
Mouse,Mus musculus,Liver,Female,1.964480874,X202794570002_R01C01,GSM6981441
Mouse,Mus musculus,Blood,Female,1.37431694,X202794570002_R01C02,GSM6981447
Mouse,Mus musculus,Liver,Female,1.144808743,X202794570002_R02C01,GSM6981442
Mouse,Mus musculus,Liver,Female,2.778688525,X202794570002_R03C01,GSM6981443
Mouse,Mus musculus,Blood,Female,1.784153006,X202794570002_R03C02,GSM6981448
Mouse,Mus musculus,Liver,Male,1.103825137,X202794570002_R04C01,GSM6981444
Mouse,Mus musculus,Blood,Female,1.37431694,X202794570002_R04C02,GSM6981449
Mouse,Mus musculus,Liver,Female,1.010928962,X202794570002_R05C01,GSM6981445
Mouse,Mus musculus,Blood,Female,,X202794570002_R05C02,GSM6981450
Mouse,Mus musculus,Blood,Female,1.396174863,X202794570002_R06C01,GSM6981446
Mouse,Mus musculus,Blood,Female,1.415300546,X202794570002_R06C02,GSM6981451
Mouse,Mus musculus,Liver,Female,1.478142077,X202794570004_R01C01,GSM6981462
Mouse,Mus musculus,Liver,Female,0.975409836,X202794570004_R01C02,GSM6981468
Mouse,Mus musculus,Liver,Female,1.527322404,X202794570004_R02C01,GSM6981463
Mouse,Mus musculus,Liver,Female,0.975409836,X202794570004_R02C02,GSM6981469
Mouse,Mus musculus,Liver,Female,,X202794570004_R03C01,GSM6981464
Mouse,Mus musculus,Liver,Female,0.975409836,X202794570004_R04C01,GSM6981465
Mouse,Mus musculus,Liver,Female,0.950819672,X202794570004_R04C02,GSM6981470
Mouse,Mus musculus,Liver,Female,0.975409836,X202794570004_R05C01,GSM6981466
Mouse,Mus musculus,Liver,Female,0.986338798,X202794570004_R05C02,GSM6981471
Mouse,Mus musculus,Liver,Female,0.975409836,X202794570004_R06C01,GSM6981467
Olive baboon,Papio hamadryas,Cortex,Female,19.81,X202794570005_R01C01,GSM6981703
Olive baboon,Papio hamadryas,Cortex,Female,18.42,X202794570005_R01C02,GSM6981709
Olive baboon,Papio hamadryas,Cortex,Female,18.48,X202794570005_R02C01,GSM6981704
Olive baboon,Papio hamadryas,Cortex,Female,20.83,X202794570005_R02C02,GSM6981710
Olive baboon,Papio hamadryas,Cortex,Female,13.16,X202794570005_R03C01,GSM6981705
Olive baboon,Papio hamadryas,Cortex,Female,11.95,X202794570005_R03C02,GSM6981711
Olive baboon,Papio hamadryas,Cortex,Female,13.8,X202794570005_R04C01,GSM6981706
Olive baboon,Papio hamadryas,Cortex,Female,12.86,X202794570005_R04C02,GSM6981712
Olive baboon,Papio hamadryas,Cortex,Female,13.61,X202794570005_R05C01,GSM6981707
Olive baboon,Papio hamadryas,Cortex,Female,12.02,X202794570005_R05C02,GSM6981713
Olive baboon,Papio hamadryas,Cortex,Female,15.68,X202794570005_R06C01,GSM6981708
Olive baboon,Papio hamadryas,Cortex,Female,14.77,X202794570005_R06C02,GSM6981714
Olive baboon,Papio hamadryas,Liver,Male,18.0,X202794570007_R01C01,GSM6981691
Olive baboon,Papio hamadryas,Liver,Female,8.65,X202794570007_R01C02,GSM6981697
Olive baboon,Papio hamadryas,Liver,Male,16.82,X202794570007_R02C01,GSM6981692
Olive baboon,Papio hamadryas,Liver,Female,17.99,X202794570007_R02C02,GSM6981698
Olive baboon,Papio hamadryas,Liver,Male,18.36,X202794570007_R03C01,GSM6981693
Olive baboon,Papio hamadryas,Liver,Female,7.49,X202794570007_R03C02,GSM6981699
Olive baboon,Papio hamadryas,Liver,Female,10.18,X202794570007_R04C01,GSM6981694
Olive baboon,Papio hamadryas,Liver,Female,6.45,X202794570007_R04C02,GSM6981700
Olive baboon,Papio hamadryas,Liver,Female,9.42,X202794570007_R05C01,GSM6981695
Olive baboon,Papio hamadryas,Liver,Female,6.11,X202794570007_R05C02,GSM6981701
Olive baboon,Papio hamadryas,Liver,Female,12.17,X202794570007_R06C01,GSM6981696
Olive baboon,Papio hamadryas,Liver,Female,5.98,X202794570007_R06C02,GSM6981702
Olive baboon,Papio hamadryas,Liver,Female,8.72,X202794570009_R01C01,GSM6981667
Olive baboon,Papio hamadryas,Liver,Female,13.73,X202794570009_R01C02,GSM6981673
Olive baboon,Papio hamadryas,Liver,Female,10.36,X202794570009_R02C01,GSM6981668
Olive baboon,Papio hamadryas,Liver,Female,10.99,X202794570009_R02C02,GSM6981674
Olive baboon,Papio hamadryas,Liver,Female,8.88,X202794570009_R03C01,GSM6981669
Olive baboon,Papio hamadryas,Liver,Female,11.1,X202794570009_R03C02,GSM6981675
Olive baboon,Papio hamadryas,Liver,Female,19.21,X202794570009_R04C01,GSM6981670
Olive baboon,Papio hamadryas,Liver,Female,10.93,X202794570009_R04C02,GSM6981676
Olive baboon,Papio hamadryas,Liver,Female,15.12,X202794570009_R05C01,GSM6981671
Olive baboon,Papio hamadryas,Liver,Female,20.91,X202794570009_R05C02,GSM6981677
Olive baboon,Papio hamadryas,Liver,Female,21.29,X202794570009_R06C01,GSM6981672
Olive baboon,Papio hamadryas,Liver,Female,18.63,X202794570009_R06C02,GSM6981678
Deer mouse,Peromyscus maniculatus,Skin,Male,,X202794570010_R01C01,GSM6982775
Meadow vole,Microtus pennsylvanicus,Skin,,,X202794570010_R01C02,GSM6982781
Bush tail rat,Neotoma cinerea,Skin,Female,,X202794570010_R02C01,GSM6982776
Rat,Rattus norvegicus,Skin,Female,,X202794570010_R02C02,GSM6982782
Black rat,Rattus rattus,Skin,,,X202794570010_R03C01,GSM6982777
Mouse,Mus musculus,Skin,Female,,X202794570010_R03C02,GSM6982783
Naked mole rat,Heterocephalus glaber,Skin,Male,3.0,X202794570010_R04C01,GSM6982778
Naked mole rat,Heterocephalus glaber,Skin,Male,7.0,X202794570010_R04C02,GSM6982784
Eastern chipmunk,Tamias striatus,Skin,Female,,X202794570010_R05C01,GSM6982779
Porqupine,Erethizon dorsatus,Skin,,,X202794570010_R05C02,GSM6982785
Naked mole rat,Heterocephalus glaber,Skin,Male,0.8,X202794570010_R06C01,GSM6982780
Olive baboon,Papio hamadryas,Cortex,Male,18.0,X202794570011_R01C01,GSM6981739
Olive baboon,Papio hamadryas,Cortex,Female,17.99,X202794570011_R01C02,GSM6981745
Olive baboon,Papio hamadryas,Cortex,Male,16.82,X202794570011_R02C01,GSM6981740
Olive baboon,Papio hamadryas,Cortex,Female,7.49,X202794570011_R02C02,GSM6981746
Olive baboon,Papio hamadryas,Cortex,Male,18.36,X202794570011_R03C01,GSM6981741
Olive baboon,Papio hamadryas,Liver,Female,13.8,X202794570011_R03C02,GSM6981747
Olive baboon,Papio hamadryas,Cortex,Female,10.18,X202794570011_R04C01,GSM6981742
Olive baboon,Papio hamadryas,Liver,Female,9.42,X202794570011_R04C02,GSM6981748
Olive baboon,Papio hamadryas,Cortex,Female,9.42,X202794570011_R05C01,GSM6981743
Olive baboon,Papio hamadryas,Cortex,Female,13.16,X202794570011_R05C02,GSM6981749
Olive baboon,Papio hamadryas,Cortex,Female,8.65,X202794570011_R06C01,GSM6981744
Olive baboon,Papio hamadryas,Cortex,Male,8.8,X202794570011_R06C02,GSM6981750
Mouse,Mus musculus,Skin,,2.0,X202794570012_R01C02,GSM6982791
Guinea pig,Cavia porcellus,Skin,,,X202794570012_R02C01,GSM6982786
Beaver,Castor canadensis,Skin,Male,,X202794570012_R02C02,GSM6982792
Beaver,Castor canadensis,Skin,,,X202794570012_R03C01,GSM6982787
Brown rat,Rattus norvegicus domestica,Skin,Male,,X202794570012_R03C02,GSM6982793
Beaver,Castor canadensis,Skin,,,X202794570012_R04C01,GSM6982788
Capybara,Hydrochoerus hydrochaeris,Skin,Male,,X202794570012_R04C02,GSM6982794
Groundhog,Marmota monax,Skin,Female,,X202794570012_R05C01,GSM6982789
Gerbil,Meriones unguiculatus,Skin,,,X202794570012_R06C01,GSM6982790
Mouse,Mus musculus,Liver,Female,0.964480874,X202794570013_R01C01,GSM6981429
Mouse,Mus musculus,Liver,Female,1.579234973,X202794570013_R01C02,GSM6981435
Mouse,Mus musculus,Liver,Female,0.961748634,X202794570013_R02C01,GSM6981430
Mouse,Mus musculus,Liver,Female,1.579234973,X202794570013_R02C02,GSM6981436
Mouse,Mus musculus,Liver,Female,1.510928962,X202794570013_R03C01,GSM6981431
Mouse,Mus musculus,Liver,Female,0.989071038,X202794570013_R03C02,GSM6981437
Mouse,Mus musculus,Liver,Female,,X202794570013_R04C01,GSM6981432
Mouse,Mus musculus,Liver,Female,1.483606557,X202794570013_R04C02,GSM6981438
Mouse,Mus musculus,Liver,Female,1.521857924,X202794570013_R05C01,GSM6981433
Mouse,Mus musculus,Liver,Female,1.975409836,X202794570013_R05C02,GSM6981439
Mouse,Mus musculus,Liver,Female,1.510928962,X202794570013_R06C01,GSM6981434
Mouse,Mus musculus,Liver,Male,1.103825137,X202794570013_R06C02,GSM6981440
Olive baboon,Papio hamadryas,Liver,Female,22.12,X202794570015_R01C01,GSM6981679
Olive baboon,Papio hamadryas,Liver,Male,8.04,X202794570015_R01C02,GSM6981685
Olive baboon,Papio hamadryas,Liver,Female,18.95,X202794570015_R02C01,GSM6981680
Olive baboon,Papio hamadryas,Liver,Male,18.64,X202794570015_R02C02,GSM6981686
Olive baboon,Papio hamadryas,Liver,Female,18.61,X202794570015_R03C01,GSM6981681
Olive baboon,Papio hamadryas,Liver,Male,8.8,X202794570015_R03C02,GSM6981687
Olive baboon,Papio hamadryas,Liver,Female,17.85,X202794570015_R04C01,GSM6981682
Olive baboon,Papio hamadryas,Liver,Male,22.68,X202794570015_R04C02,GSM6981688
Olive baboon,Papio hamadryas,Liver,Female,18.26,X202794570015_R05C01,GSM6981683
Olive baboon,Papio hamadryas,Liver,Male,18.64,X202794570015_R05C02,GSM6981689
Olive baboon,Papio hamadryas,Liver,Male,22.84,X202794570015_R06C01,GSM6981684
Olive baboon,Papio hamadryas,Liver,Male,16.68,X202794570015_R06C02,GSM6981690
Olive baboon,Papio hamadryas,Liver,Female,19.81,X202794570016_R01C01,GSM6981655
Olive baboon,Papio hamadryas,Liver,Female,18.42,X202794570016_R01C02,GSM6981661
Olive baboon,Papio hamadryas,Liver,Female,18.48,X202794570016_R02C01,GSM6981656
Olive baboon,Papio hamadryas,Liver,Female,20.83,X202794570016_R02C02,GSM6981662
Olive baboon,Papio hamadryas,Liver,Female,13.16,X202794570016_R03C01,GSM6981657
Olive baboon,Papio hamadryas,Liver,Female,11.95,X202794570016_R03C02,GSM6981663
Olive baboon,Papio hamadryas,Liver,Female,13.8,X202794570016_R04C01,GSM6981658
Olive baboon,Papio hamadryas,Liver,Female,12.86,X202794570016_R04C02,GSM6981664
Olive baboon,Papio hamadryas,Liver,Female,13.61,X202794570016_R05C01,GSM6981659
Olive baboon,Papio hamadryas,Liver,Female,12.02,X202794570016_R05C02,GSM6981665
Olive baboon,Papio hamadryas,Liver,Female,15.68,X202794570016_R06C01,GSM6981660
Olive baboon,Papio hamadryas,Liver,Female,14.77,X202794570016_R06C02,GSM6981666
Mouse,Mus musculus,Liver,Female,0.590163934,X202794570018_R01C01,GSM6981405
Mouse,Mus musculus,Liver,Female,0.964480874,X202794570018_R01C02,GSM6981411
Mouse,Mus musculus,Liver,Female,1.00273224,X202794570018_R02C01,GSM6981406
Mouse,Mus musculus,Liver,Female,1.494535519,X202794570018_R02C02,GSM6981412
Mouse,Mus musculus,Liver,Female,0.510928962,X202794570018_R03C01,GSM6981407
Mouse,Mus musculus,Liver,Male,1.084699454,X202794570018_R03C02,GSM6981413
Mouse,Mus musculus,Liver,Female,1.494535519,X202794570018_R04C01,GSM6981408
Mouse,Mus musculus,Liver,Female,2.068306011,X202794570018_R04C02,GSM6981414
Mouse,Mus musculus,Liver,Female,1.396174863,X202794570018_R05C01,GSM6981409
Mouse,Mus musculus,Liver,Female,2.021857924,X202794570018_R05C02,GSM6981415
Mouse,Mus musculus,Liver,Female,2.032786885,X202794570018_R06C01,GSM6981410
Mouse,Mus musculus,Liver,Female,0.573770492,X202794570018_R06C02,GSM6981416
Olive baboon,Papio hamadryas,Cortex,Female,8.72,X202794570019_R01C01,GSM6981715
Olive baboon,Papio hamadryas,Cortex,Female,13.73,X202794570019_R01C02,GSM6981721
Olive baboon,Papio hamadryas,Cortex,Female,10.36,X202794570019_R02C01,GSM6981716
Olive baboon,Papio hamadryas,Cortex,Female,10.99,X202794570019_R02C02,GSM6981722
Olive baboon,Papio hamadryas,Cortex,Female,8.88,X202794570019_R03C01,GSM6981717
Olive baboon,Papio hamadryas,Cortex,Female,11.1,X202794570019_R03C02,GSM6981723
Olive baboon,Papio hamadryas,Cortex,Female,19.21,X202794570019_R04C01,GSM6981718
Olive baboon,Papio hamadryas,Cortex,Female,10.93,X202794570019_R04C02,GSM6981724
Olive baboon,Papio hamadryas,Cortex,Female,15.12,X202794570019_R05C01,GSM6981719
Olive baboon,Papio hamadryas,Cortex,Female,20.91,X202794570019_R05C02,GSM6981725
Olive baboon,Papio hamadryas,Cortex,Female,21.29,X202794570019_R06C01,GSM6981720
Olive baboon,Papio hamadryas,Cortex,Female,18.63,X202794570019_R06C02,GSM6981726
Mouse,Mus musculus,Blood,Female,1.527322404,X202794570020_R01C01,GSM6981452
Mouse,Mus musculus,Blood,Female,0.975409836,X202794570020_R01C02,GSM6981456
Mouse,Mus musculus,Blood,Female,1.770491803,X202794570020_R02C01,GSM6981453
Mouse,Mus musculus,Blood,Female,0.975409836,X202794570020_R02C02,GSM6981457
Mouse,Mus musculus,Blood,Female,1.527322404,X202794570020_R03C01,GSM6981454
Mouse,Mus musculus,Blood,Female,0.975409836,X202794570020_R03C02,GSM6981458
Mouse,Mus musculus,Blood,Female,0.975409836,X202794570020_R04C02,GSM6981459
Mouse,Mus musculus,Blood,Female,0.975409836,X202794570020_R05C02,GSM6981460
Mouse,Mus musculus,Blood,Female,0.975409836,X202794570020_R06C01,GSM6981455
Mouse,Mus musculus,Liver,Female,1.37431694,X202794570020_R06C02,GSM6981461
Mouse,Mus musculus,Liver,Male,1.475409836,X202794570021_R01C01,GSM6981417
Mouse,Mus musculus,Liver,Female,0.994535519,X202794570021_R01C02,GSM6981423
Mouse,Mus musculus,Liver,Female,1.99726776,X202794570021_R02C01,GSM6981418
Mouse,Mus musculus,Liver,Female,1.489071038,X202794570021_R02C02,GSM6981424
Mouse,Mus musculus,Liver,Female,0.994535519,X202794570021_R03C01,GSM6981419
Mouse,Mus musculus,Liver,Female,0.573770492,X202794570021_R03C02,GSM6981425
Mouse,Mus musculus,Liver,Female,1.00273224,X202794570021_R04C01,GSM6981420
Mouse,Mus musculus,Liver,Female,0.994535519,X202794570021_R04C02,GSM6981426
Mouse,Mus musculus,Liver,Male,1.475409836,X202794570021_R05C01,GSM6981421
Mouse,Mus musculus,Liver,Female,0.590163934,X202794570021_R05C02,GSM6981427
Mouse,Mus musculus,Liver,Female,1.489071038,X202794570021_R06C01,GSM6981422
Mouse,Mus musculus,Liver,Male,0.994535519,X202794570021_R06C02,GSM6981428
Dog,Canis lupus familiaris,Blood,Female,7.8,X202894750001_R01C01,GSM6982558
Dog,Canis lupus familiaris,Blood,Female,1.3,X202894750001_R01C02,GSM6982563
Dog,Canis lupus familiaris,Blood,Female,4.7,X202894750001_R02C01,GSM6982559
Dog,Canis lupus familiaris,Blood,Male,11.3,X202894750001_R02C02,GSM6982564
Dog,Canis lupus familiaris,Blood,Female,7.9,X202894750001_R03C01,GSM6982560
Dog,Canis lupus familiaris,Blood,Female,14.5,X202894750001_R03C02,GSM6982565
Dog,Canis lupus familiaris,Blood,Male,13.6,X202894750001_R04C01,GSM6982561
Dog,Canis lupus familiaris,Blood,Female,0.2,X202894750001_R04C02,GSM6982566
Dog,Canis lupus familiaris,Blood,Male,9.5,X202894750001_R05C01,GSM6982562
Dog,Canis lupus familiaris,Blood,Male,0.8,X202894750001_R05C02,GSM6982567
Dog,Canis lupus familiaris,Blood,Male,9.0,X202894750001_R06C02,GSM6982568
Killer whale,Orcinus orca,Skin,Female,26.0,X202894750002_R01C01,GSM6983024
Killer whale,Orcinus orca,Skin,Female,17.0,X202894750002_R01C02,GSM6983029
Killer whale,Orcinus orca,Skin,Female,38.0,X202894750002_R02C01,GSM6983025
Killer whale,Orcinus orca,Skin,Male,3.0,X202894750002_R02C02,GSM6983030
Killer whale,Orcinus orca,Skin,Female,28.0,X202894750002_R03C01,GSM6983026
Killer whale,Orcinus orca,Skin,Female,43.0,X202894750002_R03C02,GSM6983031
Killer whale,Orcinus orca,Skin,Female,38.0,X202894750002_R04C01,GSM6983027
Killer whale,Orcinus orca,Skin,Male,21.0,X202894750002_R04C02,GSM6983032
Killer whale,Orcinus orca,Skin,Female,22.0,X202894750002_R05C01,GSM6983028
Killer whale,Orcinus orca,Skin,Female,24.0,X202894750002_R05C02,GSM6983033
Killer whale,Orcinus orca,Skin,Female,28.0,X202894750002_R06C02,GSM6983034
Killer whale,Orcinus orca,Skin,Male,37.0,X202894750003_R01C01,GSM6983012
Killer whale,Orcinus orca,Skin,Female,47.0,X202894750003_R01C02,GSM6983018
Killer whale,Orcinus orca,Skin,Male,37.0,X202894750003_R02C01,GSM6983013
Killer whale,Orcinus orca,Skin,Female,0.0,X202894750003_R02C02,GSM6983019
Killer whale,Orcinus orca,Skin,Female,25.0,X202894750003_R03C01,GSM6983014
Killer whale,Orcinus orca,Skin,Male,0.0,X202894750003_R03C02,GSM6983020
Killer whale,Orcinus orca,Skin,Male,20.0,X202894750003_R04C01,GSM6983015
Killer whale,Orcinus orca,Skin,Female,,X202894750003_R04C02,GSM6983021
Killer whale,Orcinus orca,Skin,Male,19.0,X202894750003_R05C01,GSM6983016
Killer whale,Orcinus orca,Skin,Female,55.0,X202894750003_R05C02,GSM6983022
Killer whale,Orcinus orca,Skin,Male,33.0,X202894750003_R06C01,GSM6983017
Killer whale,Orcinus orca,Skin,Female,47.0,X202894750003_R06C02,GSM6983023
Dog,Canis lupus familiaris,Blood,Female,16.6,X202894750004_R01C01,GSM6982474
Dog,Canis lupus familiaris,Blood,Female,15.9,X202894750004_R01C02,GSM6982480
Dog,Canis lupus familiaris,Blood,Female,7.6,X202894750004_R02C01,GSM6982475
Dog,Canis lupus familiaris,Blood,Female,5.1,X202894750004_R02C02,GSM6982481
Dog,Canis lupus familiaris,Blood,Female,4.8,X202894750004_R03C01,GSM6982476
Dog,Canis lupus familiaris,Blood,Female,6.4,X202894750004_R03C02,GSM6982482
Dog,Canis lupus familiaris,Blood,Male,4.9,X202894750004_R04C01,GSM6982477
Dog,Canis lupus familiaris,Blood,Female,7.7,X202894750004_R04C02,GSM6982483
Dog,Canis lupus familiaris,Blood,Male,4.5,X202894750004_R05C01,GSM6982478
Dog,Canis lupus familiaris,Blood,Male,10.1,X202894750004_R05C02,GSM6982484
Dog,Canis lupus familiaris,Blood,Female,6.7,X202894750004_R06C01,GSM6982479
Dog,Canis lupus familiaris,Blood,Male,1.5,X202894750004_R06C02,GSM6982485
Dog,Canis lupus familiaris,Blood,Male,12.5,X202894750005_R01C01,GSM6982450
Dog,Canis lupus familiaris,Blood,Male,7.1,X202894750005_R01C02,GSM6982456
Dog,Canis lupus familiaris,Blood,Female,1.8,X202894750005_R02C01,GSM6982451
Dog,Canis lupus familiaris,Blood,Male,12.5,X202894750005_R02C02,GSM6982457
Dog,Canis lupus familiaris,Blood,Female,1.1,X202894750005_R03C01,GSM6982452
Dog,Canis lupus familiaris,Blood,Female,8.0,X202894750005_R03C02,GSM6982458
Dog,Canis lupus familiaris,Blood,Male,2.2,X202894750005_R04C01,GSM6982453
Dog,Canis lupus familiaris,Blood,Male,7.4,X202894750005_R04C02,GSM6982459
Dog,Canis lupus familiaris,Blood,Female,3.1,X202894750005_R05C01,GSM6982454
Dog,Canis lupus familiaris,Blood,Female,3.6,X202894750005_R05C02,GSM6982460
Dog,Canis lupus familiaris,Blood,Female,5.9,X202894750005_R06C01,GSM6982455
Dog,Canis lupus familiaris,Blood,Male,2.3,X202894750005_R06C02,GSM6982461
Dog,Canis lupus familiaris,Blood,Female,4.2,X202894750006_R01C01,GSM6982462
Dog,Canis lupus familiaris,Blood,Female,10.1,X202894750006_R01C02,GSM6982468
Dog,Canis lupus familiaris,Blood,Male,4.4,X202894750006_R02C01,GSM6982463
Dog,Canis lupus familiaris,Blood,Female,4.4,X202894750006_R02C02,GSM6982469
Dog,Canis lupus familiaris,Blood,Female,5.7,X202894750006_R03C01,GSM6982464
Dog,Canis lupus familiaris,Blood,Female,1.6,X202894750006_R03C02,GSM6982470
Dog,Canis lupus familiaris,Blood,Female,2.3,X202894750006_R04C01,GSM6982465
Dog,Canis lupus familiaris,Blood,Female,1.1,X202894750006_R04C02,GSM6982471
Dog,Canis lupus familiaris,Blood,Female,3.8,X202894750006_R05C01,GSM6982466
Dog,Canis lupus familiaris,Blood,Female,10.8,X202894750006_R05C02,GSM6982472
Dog,Canis lupus familiaris,Blood,Female,10.1,X202894750006_R06C01,GSM6982467
Dog,Canis lupus familiaris,Blood,Female,10.3,X202894750006_R06C02,GSM6982473
Pale spear-nosed bat,Phyllostomus discolor,Skin,Female,1.3,X202894750007_R01C01,GSM6983250
Common vampire bat,Desmodus rotundus,Skin,Female,4.4,X202894750007_R01C02,GSM6983256
Common vampire bat,Desmodus rotundus,Skin,Female,8.3,X202894750007_R02C01,GSM6983251
Pale spear-nosed bat,Phyllostomus discolor,Skin,Male,4.9,X202894750007_R02C02,GSM6983257
Pale spear-nosed bat,Phyllostomus discolor,Skin,Male,0.2,X202894750007_R03C01,GSM6983252
Common vampire bat,Desmodus rotundus,Skin,Male,2.6,X202894750007_R03C02,GSM6983258
Common vampire bat,Desmodus rotundus,Skin,Female,9.3,X202894750007_R04C01,GSM6983253
Pale spear-nosed bat,Phyllostomus discolor,Skin,Female,0.7,X202894750007_R04C02,GSM6983259
Common vampire bat,Desmodus rotundus,Skin,Male,6.5,X202894750007_R05C01,GSM6983254
Common vampire bat,Desmodus rotundus,Skin,Female,6.0,X202894750007_R05C02,GSM6983260
Pale spear-nosed bat,Phyllostomus discolor,Skin,Female,11.9,X202894750007_R06C01,GSM6983255
Pale spear-nosed bat,Phyllostomus discolor,Skin,Female,0.0,X202894750007_R06C02,GSM6983261
Mouse,Mus musculus,Liver,Female,0.579234973,X202894750008_R01C01,GSM6981300
Mouse,Mus musculus,Liver,Female,1.942622951,X202894750008_R01C02,GSM6981306
Mouse,Mus musculus,Liver,Female,1.535519126,X202894750008_R02C01,GSM6981301
Mouse,Mus musculus,Liver,Female,1.00273224,X202894750008_R02C02,GSM6981307
Mouse,Mus musculus,Liver,Female,1.535519126,X202894750008_R03C01,GSM6981302
Mouse,Mus musculus,Liver,Female,1.030054645,X202894750008_R03C02,GSM6981308
Mouse,Mus musculus,Liver,Female,1.535519126,X202894750008_R04C01,GSM6981303
Mouse,Mus musculus,Liver,Female,1.00273224,X202894750008_R04C02,GSM6981309
Mouse,Mus musculus,Liver,Female,1.535519126,X202894750008_R05C01,GSM6981304
Mouse,Mus musculus,Liver,Female,1.051912568,X202894750008_R05C02,GSM6981310
Mouse,Mus musculus,Liver,Female,1.942622951,X202894750008_R06C01,GSM6981305
Mouse,Mus musculus,Liver,Female,1.051912568,X202894750008_R06C02,GSM6981311
Greater spear-nosed bat,Phyllostomus hastatus,Skin,Female,13.0,X202894750009_R01C01,GSM6983154
Greater spear-nosed bat,Phyllostomus hastatus,Skin,Female,1.0,X202894750009_R01C02,GSM6983160
Greater spear-nosed bat,Phyllostomus hastatus,Skin,Female,12.0,X202894750009_R02C01,GSM6983155
Evening bat,Nycticeius humeralis,Muscle,Male,0.0,X202894750009_R02C02,GSM6983161
Greater spear-nosed bat,Phyllostomus hastatus,Skin,Female,1.8,X202894750009_R03C01,GSM6983156
Greater spear-nosed bat,Phyllostomus hastatus,Skin,Female,14.0,X202894750009_R03C02,GSM6983162
Evening bat,Nycticeius humeralis,Muscle,Female,2.0,X202894750009_R04C01,GSM6983157
Greater spear-nosed bat,Phyllostomus hastatus,Skin,Female,9.0,X202894750009_R04C02,GSM6983163
Greater spear-nosed bat,Phyllostomus hastatus,Skin,Female,7.0,X202894750009_R05C01,GSM6983158
Greater spear-nosed bat,Phyllostomus hastatus,Skin,Female,1.7,X202894750009_R05C02,GSM6983164
Greater spear-nosed bat,Phyllostomus hastatus,Skin,Female,14.0,X202894750009_R06C01,GSM6983159
Evening bat,Nycticeius humeralis,Muscle,Male,0.0,X202894750009_R06C02,GSM6983165
Rhesus macaque,Macaca mulatta,Liver,Female,,X202894750010_R01C01,GSM6981229
Francois leaf monkey,Trachypithecus francoisi,Liver,,,X202894750010_R01C02,GSM6981235
Damaraland mole rat,Cryptomys damarensis,Liver,Female,,X202894750010_R02C01,GSM6981230
Common dolphin,Delphinus delphis,Liver,Male,,X202894750010_R02C02,GSM6981236
Cattle,Bos taurus,Liver,Male,,X202894750010_R03C01,GSM6981231
Mouse,Mus musculus,Liver,Male,,X202894750010_R03C02,GSM6981237
Cat,Felis catus,Liver,Female,,X202894750010_R04C01,GSM6981232
Ferret,Mustela putorius furo,Liver,Male,,X202894750010_R04C02,GSM6981238
Tasmanian devil,Sarcophilus harrisii,Liver,Female,,X202894750010_R05C01,GSM6981233
Marmoset,Callithrix jacchus,Liver,Male,,X202894750010_R05C02,GSM6981239
Damaraland mole rat,Cryptomys damarensis,Liver,Female,,X202894750010_R06C01,GSM6981234
Human,Homo sapiens,Liver,,,X202894750010_R06C02,GSM6981240
Spanish mole,Talpa occidentalis,Liver,Female,,X202894750011_R01C01,GSM6981217
Naked mole rat,Heterocephalus glaber,Liver,Male,,X202894750011_R01C02,GSM6981223
Rodriguez flying fox,Pteropus rodricensis,Liver,Female,,X202894750011_R02C01,GSM6981218
Pig,Sus scrofa domesticus,Liver,Male,,X202894750011_R02C02,GSM6981224
Pig,Sus scrofa domesticus,Liver,Male,,X202894750011_R03C01,GSM6981219
Noctule,Nyctalus noctula,Liver,Male,,X202894750011_R03C02,GSM6981225
Pig,Sus scrofa domesticus,Liver,Male,,X202894750011_R04C01,GSM6981220
Guinea pig,Cavia porcellus,Liver,Male,,X202894750011_R04C02,GSM6981226
Tammar wallaby,Macropus eugenii,Liver,Male,,X202894750011_R05C01,GSM6981221
Tasmanian devil,Sarcophilus harrisii,Liver,Male,,X202894750011_R05C02,GSM6981227
Northern treeshrew,Tupaia belangeri,Liver,Male,,X202894750011_R06C01,GSM6981222
Noctule,Nyctalus noctula,Liver,Male,,X202894750011_R06C02,GSM6981228
Rat,Rattus norvegicus,Liver,Male,,X202894750012_R01C01,GSM6981193
